Predicted function of gene	No. of genes
Putative XP_035895106.1 low-density lipoprotein receptor isoform X5 - signalP detected	1
Putative XP_035895125.1 transient receptor potential cation channel proteinpainless	1
Putative XP_035895373.1 cell division cycle and apoptosis regulator protein1-like	1
Putative XP_035895403.1 serine/threonine-protein kinase stk11	1
Putative XP_035895423.1 sodium-independent sulfate anion transporter	1
Putative XP_035895531.1 forkhead box protein K2-like	1
Putative XP_035895537.1 ubiquitin-like modifier-activating enzyme 1	1
Putative XP_035895560.1 polyadenylate-binding protein-interacting protein1	1
Putative XP_035895598.1 transcription factor kayak isoform X1	1
Putative XP_035895609.1 arginyl-tRNA--protein transferase 1 isoform X	1
Putative XP_035895648.1 mucin-19	1
Putative XP_035895653.1 dual specificity protein phosphatase Mpk3	1
Putative XP_035895694.1 glutamate receptor ionotropic kainate 2-likeisoform X1	1
Putative XP_035895725.1 vacuolar protein sorting-associated protein 13	1
Putative XP_035895753.1 mitogen-activated protein kinase kinase kinasekinase 5 isoform X2	1
Putative XP_035895794.1 ubiquitin thioesterase trabid	1
Putative XP_035895904.1 tubulin polyglutamylase TTLL13-like isoform X	1
Putative XP_035895915.1 zinc transporter ZIP3	1
Putative XP_035895957.1 phospholipid-transporting ATPase ID isoform X	1
Putative XP_035895967.1 phosphorylase b kinase gamma catalytic chainskeletal muscle/heart isoform isoform X5	1
Putative XP_035896001.1 CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferasemitochondrial isoform X1	1
Putative XP_035896008.1 cation-independent mannose-6-phosphate recepto - signalP detected	1
Putative XP_035896027.1 lysine-specific demethylase 3A	1
Putative XP_035896137.1 histone-lysine N-methyltransferase trithorax isoformX1	1
Putative XP_035896191.1 putative fatty acyl-CoA reductase CG5065	1
Putative XP_035896200.1 protein kinase C isoform X3	1
Putative XP_035896320.1 acyl-CoA Delta(11) desaturase	1
Putative XP_035896418.1 mucin-5AC-like isoform X2	1
Putative XP_035896446.1 furin-like protease 1	1
Putative XP_035896561.1 3-phosphoinositide-dependent protein kinase	1
Putative XP_035896565.1 large neutral amino acids transporter small subunit1 isoform X2	1
Putative XP_035896728.1 matrix metalloproteinase-2 isoform X1 - signalP detected	1
Putative XP_035896796.1 ubiquitin carboxyl-terminal hydrolase 32 isoformX4	1
Putative XP_035896800.1 ubiquinone biosynthesis monooxygenase COQ6 mitochondria	1
Putative XP_035896820.1 tumor necrosis factor alpha-induced protein 8-likeprotein isoform X4	1
Putative XP_035896830.1 ATP-dependent Clp protease ATP-binding subunitclpX-like mitochondrial	1
Putative XP_035896998.1 eukaryotic translation initiation factor 5A	1
Putative XP_035897034.1 transcriptional adapter 2B isoform X4	1
Putative XP_035897043.1 serine/threonine-protein phosphatase PP1-betacatalytic subunit isoform X2	1
Putative XP_035897054.1 replication factor C subunit 4	1
Putative XP_035897095.1 endoplasmic reticulum metallopeptidase 1-lik	1
Putative XP_035897097.1 glutamyl aminopeptidase isoform X1	1
Putative XP_035897168.1 transcription factor E2f1	1
Putative XP_035897172.1 organic solute transporter alpha-like protei	1
Putative XP_035897207.1 RNA-binding protein Musashi homolog 2 isoformX3	1
Putative XP_035897354.1 probable alpha-aspartyl dipeptidase	1
Putative XP_035897462.1 forkhead box protein O	1
Putative XP_035897609.1 glutamate--cysteine ligase	1
Putative XP_035897626.1 protein phosphatase 1 regulatory subunit 3B isoformX1	1
Putative XP_035897645.1 histone-lysine N-methyltransferase ash1 isoformX1	1
Putative XP_035897739.1 non-canonical poly(A) RNA polymerase protein Trf4-1-lik	1
Putative XP_035897758.1 sorting nexin-13-like isoform X1	1
Putative XP_035897817.1 serine protease inhibitor 77Ba isoform X2	1
Putative XP_035897930.1 ryanodine receptor isoform X10	1
Putative XP_035897968.1 oxysterol-binding protein-related protein 8 isoformX8	1
Putative XP_035898001.1 mucin-17 isoform X2 - signalP detected	1
Putative XP_035898070.1 carboxypeptidase Q-like - signalP detected	1
Putative XP_035898176.1 hyphally regulated cell wall protein 3-like isoformX2	1
Putative XP_035898431.1 copper-transporting ATPase 1 isoform X4	1
Putative XP_035898519.1 organic cation transporter protein	1
Putative XP_035898606.1 serine/threonine-protein kinase 10-like isoformX4	1
Putative XP_035898775.1 serine/threonine-protein kinase MARK2 isoformX2	1
Putative XP_035898859.1 myosin-IIIb-like isoform X2	1
Putative XP_035898891.1 sodium-dependent neutral amino acid transporterB(0)AT3 isoform X2	1
Putative XP_035899049.1 beta carbonic anhydrase 1	1
Putative XP_035899083.1 histone-lysine N-methyltransferase SETD1B-lik	1
Putative XP_035899142.1 N-acetylgalactosaminyltransferase 4-like	1
Putative XP_035899170.1 glycerol-3-phosphate dehydrogenase mitochondrialisoform X2	1
Putative XP_035899197.1 protein kinase shaggy isoform X2	1
Putative XP_035899230.1 galectin-9 isoform X5	1
Putative XP_035899279.1 5-hydroxytryptamine receptor 1-like	1
Putative XP_035899283.1 nuclear hormone receptor HR96	1
Putative XP_035899292.1 neural cell adhesion molecule 1-like	1
Putative XP_035899329.1 tyrosine-protein phosphatase 10D isoform X4	1
Putative XP_035899338.1 probable phospholipid hydroperoxide glutathioneperoxidase isoform X2	1
Putative XP_035899341.1 glutathione peroxidase-like	1
Putative XP_035899384.1 cardioacceleratory peptide receptor-like	1
Putative XP_035899385.1 cardioacceleratory peptide receptor-like isoformX1	1
Putative XP_035899444.1 heparan-sulfate 6-O-sulfotransferase 2	1
Putative XP_035899658.1 galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferaseP	1
Putative XP_035899684.1 glutamate receptor-interacting protein 2	1
Putative XP_035899752.1 mucin-19 isoform X4	1
Putative XP_035899757.1 ubiquitin-conjugating enzyme E2 Q2 isoform X	1
Putative XP_035899872.1 zinc finger RNA-binding protein 2	1
Putative XP_035899926.1 mucin-19 isoform X1	1
Putative XP_035899966.1 b(0+)-type amino acid transporter 1 isoform X	1
Putative XP_035900029.1 probable protein phosphatase 2C T23F11.1	1
Putative XP_035900051.1 GTPase-activating protein isoform X2	1
Putative XP_035900057.1 3'-5' ssDNA/RNA exonuclease TatD	1
Putative XP_035900084.1 calcium/calmodulin-dependent protein kinase kinase1 isoform X3	1
Putative XP_035900150.1 open rectifier potassium channel protein 1	1
Putative XP_035900156.1 F-actin-monooxygenase Mical isoform X2	1
Putative XP_035900254.1 glycine-rich cell wall structural protein 1.8-lik	1
Putative XP_035900342.1 endoplasmic reticulum metallopeptidase 1-likeisoform X1	1
Putative XP_035900407.1 ribosome-binding protein 1 isoform X1 - signalP detected	1
Putative XP_035900416.1 ribosomal protein S6 kinase 2 beta-like isoformX2	1
Putative XP_035900426.1 organic cation transporter protein isoform X	1
Putative XP_035900472.1 facilitated trehalose transporter Tret1-like	1
Putative XP_035900502.1 autophagy-related protein 101 isoform X3	1
Putative XP_035900547.1 regulator of G-protein signaling loco isoformX3	1
Putative XP_035900766.1 mucin-19	1
Putative XP_035900777.1 unconventional myosin-IXa-like isoform X2	1
Putative XP_035900918.1 serine/threonine-protein kinase Warts	1
Putative XP_035901026.1 G protein-activated inward rectifier potassiumchannel 3 isoform X1	1
Putative XP_035901042.1 serine/threonine-protein phosphatase 2B catalyticsubunit 3-like	1
Putative XP_035901049.1 G protein-activated inward rectifier potassiumchannel 3-like isoform X1	1
Putative XP_035901056.1 ribonuclease P protein subunit p40-like	1
Putative XP_035901182.1 copper transporter 5.1-like isoform X1	1
Putative XP_035901278.1 oxysterol-binding protein 1 isoform X1	1
Putative XP_035901299.1 spectrin beta chain isoform X6	1
Putative XP_035901360.1 sortilin-related receptor-like - signalP detected	1
Putative XP_035901450.1 serine protease 53-like - signalP detected	1
Putative XP_035901458.1 glutactin-like isoform X1 - signalP detected	1
Putative XP_035901572.1 transcription factor Ouib-like	1
Putative XP_035901796.1 thyrotropin receptor isoform X1	1
Putative XP_035901884.1 rho GTPase-activating protein 190 isoform X5	1
Putative XP_035902068.1 basement membrane-specific heparan sulfate proteoglycancore protein isoform X11 - signalP detected	1
Putative XP_035902098.1 tyrosine-protein kinase Fer isoform X7	1
Putative XP_035902148.1 calmodulin	1
Putative XP_035902216.1 hyphally regulated cell wall protein 3 isoformX26	1
Putative XP_035902288.1 nuclear receptor coactivator 7 isoform X22	1
Putative XP_035902326.1 secretory carrier-associated membrane protein5A isoform X2	1
Putative XP_035902342.1 furin-like protease 2 isoform X2	1
Putative XP_035902395.1 RNA-binding protein Nova-1 isoform X3	1
Putative XP_035902524.1 tropomyosin-2 isoform X15	1
Putative XP_035902583.1 serine/threonine-protein kinase fused isoformX1	1
Putative XP_035902677.1 synaptic vesicle glycoprotein 2B isoform X1	1
Putative XP_035902717.1 mitochondrial import inner membrane translocasesubunit Tim17-A-like	1
Putative XP_035902755.1 sodium-independent sulfate anion transporter-likeisoform X1	1
Putative XP_035902757.1 sodium-independent sulfate anion transporter-lik	1
Putative XP_035902833.1 Y+L amino acid transporter 2	1
Putative XP_035902863.1 mediator of RNA polymerase II transcription subunit1 isoform X4	1
Putative XP_035902867.1 signal recognition particle 54 kDa protein	1
Putative XP_035903049.1 mitochondrial amidoxime reducing component 2-likeisoform X2	1
Putative XP_035903081.1 glutamate dehydrogenase mitochondrial isoformX5	1
Putative XP_035903122.1 sodium- and chloride-dependent glycine transporter2-like	1
Putative XP_035903234.1 vesicle-associated membrane protein 7	1
Putative XP_035903271.1 facilitated trehalose transporter Tret1	1
Putative XP_035903280.1 facilitated trehalose transporter Tret1	1
Putative XP_035903346.1 insulin-like receptor isoform X1	1
Putative XP_035903356.1 ras-related protein Rab-10-like	1
Putative XP_035903576.1 seminal metalloprotease 1-like - signalP detected	1
Putative XP_035903591.1 probable cation-transporting ATPase 13A5 isoformX1	1
Putative XP_035903678.1 hexokinase type 2 isoform X4	1
Putative XP_035903723.1 histone-lysine N-methyltransferase 2D-like isoformX12	1
Putative XP_035903946.1 tyrosine-protein phosphatase corkscrew isoformX3	1
Putative XP_035904096.1 facilitated trehalose transporter Tret1-like	1
Putative XP_035904101.1 phosphatidylserine decarboxylase proenzyme mitochondrialisoform X1	1
Putative XP_035904145.1 inactive dipeptidyl peptidase 10 isoform X1	1
Putative XP_035904200.1 ankyrin repeat domain-containing protein 27-lik	1
Putative XP_035904257.1 serine protease inhibitor 88Ea-like - signalP detected	1
Putative XP_035904281.1 nuclear pore complex protein DDB_G0274915 isoformX2	1
Putative XP_035904313.1 facilitated trehalose transporter Tret1-like	1
Putative XP_035904392.1 tyrosine--tRNA ligase mitochondrial isoform X	1
Putative XP_035904434.1 aryl hydrocarbon receptor nuclear translocatorhomolog isoform X4	1
Putative XP_035904559.1 ras-related protein Rab-32 isoform X5	1
Putative XP_035904588.1 mitochondrial folate transporter/carrier isoformX1	1
Putative XP_035904618.1 facilitated trehalose transporter Tret1-2 homolo	1
Putative XP_035904858.1 ras-related and estrogen-regulated growth inhibitor-likeprotein	1
Putative XP_035904878.1 calcium/calmodulin-dependent protein kinase typeII alpha chain	1
Putative XP_035904907.1 maltase 2-like - signalP detected	1
Putative XP_035904970.1 ionotropic receptor 75a	1
Putative XP_035905007.1 ankyrin-3 isoform X12	1
Putative XP_035905132.1 m-AAA protease-interacting protein 1 mitochondria	1
Putative XP_035905224.1 ovarian-specific serine/threonine-protein kinaseLok-like	1
Putative XP_035905235.1 monocarboxylate transporter 12-like isoform X	1
Putative XP_035905279.1 tyrosine-protein kinase Btk29A isoform X1	1
Putative XP_035905401.1 calcium uptake protein 1 homolog mitochondrial-likeisoform X3	1
Putative XP_035905413.1 carbohydrate sulfotransferase 11-like	1
Putative XP_035905435.1 serine/threonine-protein kinase tousled-like 1isoform X1	1
Putative XP_035905525.1 octopamine receptor Oamb isoform X1	1
Putative XP_035905556.1 sodium- and chloride-dependent GABA transporterine isoform X1	1
Putative XP_035905600.1 myosin-VIIa	1
Putative XP_035905722.1 vascular endothelial growth factor receptor 1-likeisoform X9 - signalP detected	1
Putative XP_035905807.1 splicing factor 1	1
Putative XP_035905971.1 UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase110 kDa subunit isoform X1	1
Putative XP_035906019.1 tyrosine-protein kinase Src42A isoform X2	1
Putative XP_035906052.1 bifunctional heparan sulfate N-deacetylase/N-sulfotransferas	1
Putative XP_035906055.1 calcium uniporter protein mitochondrial isoformX1	1
Putative XP_035906082.1 serine/threonine-protein kinase mig-15 isoformX10	1
Putative XP_035906122.1 putative glutamate synthase - signalP detected	1
Putative XP_035906230.1 glucose-6-phosphate exchanger SLC37A2-like isoformX1	1
Putative XP_035906295.1 cAMP-dependent protein kinase type I regulatorysubunit isoform X2	1
Putative XP_035906331.1 putative mediator of RNA polymerase II transcriptionsubunit 26 isoform X1	1
Putative XP_035906342.1 vacuolar protein sorting-associated protein 13isoform X6	1
Putative XP_035906351.1 inositol 145-trisphosphate receptor isoformX2	1
Putative XP_035906403.1 mucin-17 isoform X3	1
Putative XP_035906434.1 mucin-2-like isoform X1 - signalP detected	1
Putative XP_035906459.1 palmitoyltransferase app isoform X2	1
Putative XP_035906611.1 ankyrin repeat domain-containing protein SOWAHBisoform X2	1
Putative XP_035906698.1 serine/threonine-protein kinase D3	1
Putative XP_035906709.1 calcium release-activated calcium channel protein1 isoform X3	1
Putative XP_035906748.1 D-aspartate oxidase	1
Putative XP_035906837.1 serine/threonine-protein phosphatase 4 regulatorysubunit 1-like isoform X2	1
Putative XP_035906850.1 myosin light chain kinase 2 skeletal/cardiacmuscle-like isoform X1	1
Putative XP_035906853.1 RING finger protein nenya-like isoform X2	1
Putative XP_035906872.1 collagen alpha-1(XVIII) chain isoform X8 - signalP detected	1
Putative XP_035906919.1 tyrosine-protein kinase Src64B	1
Putative XP_035907003.1 PX domain-containing protein kinase-like proteinisoform X3	1
Putative XP_035907076.1 transcription factor Ken 1-like isoform X4	1
Putative XP_035907110.1 transient receptor potential cation channel trpmisoform X10	1
Putative XP_035907139.1 actin-binding LIM protein 3 isoform X2	1
Putative XP_035907175.1 palmitoyltransferase ZDHHC23	1
Putative XP_035907205.1 glucose transporter type 1 isoform X18	1
Putative XP_035907230.1 calcitonin gene-related peptide type 1 receptorisoform X3	1
Putative XP_035907382.1 BRCA2-interacting transcriptional repressor EMS	1
Putative XP_035907484.1 dynein intermediate chain 2 ciliary isoform X	1
Putative XP_035907585.1 signal transducer and transcription activatorisoform X4	1
Putative XP_035907616.1 mitochondrial coenzyme A transporter SLC25A4	1
Putative XP_035907627.1 probable serine/threonine-protein kinase tsuAisoform X2	1
Putative XP_035907636.1 solute carrier family 25 member 35-like	1
Putative XP_035907797.1 sodium-dependent neutral amino acid transporterB(0)AT3	1
Putative XP_035907815.1 vacuolar protein sorting-associated protein 26	1
Putative XP_035907816.1 F-actin-capping protein subunit alpha	1
Putative XP_035907887.1 potassium voltage-gated channel protein Shab isoformX1 - signalP detected	1
Putative XP_035907970.1 zinc transporter 1 isoform X2 - signalP detected	1
Putative XP_035907993.1 cell wall protein DAN4-like - signalP detected	1
Putative XP_035908075.1 serine/threonine-protein kinase Smg1 isoform X	1
Putative XP_035908116.1 rho-associated protein kinase 1 isoform X1	1
Putative XP_035908127.1 solute carrier family 35 member F5 - signalP detected	1
Putative XP_035908151.1 histone deacetylase 4 isoform X1	1
Putative XP_035908302.1 divergent protein kinase domain 1B-like isoformX2	1
Putative XP_035908319.1 transcriptional coactivator YAP1-A-like isoformX1	1
Putative XP_035908390.1 ribosomal protein S6 kinase beta-2	1
Putative XP_035908406.1 sphingomyelin phosphodiesterase 4 isoform X1	1
Putative XP_035908447.1 probable phospholipid-transporting ATPase VA isoformX2	1
Putative XP_035908457.1 troponin C	1
Putative XP_035908468.1 mitochondrial uncoupling protein 4 isoform X	1
Putative XP_035908508.1 sodium/potassium-transporting ATPase subunit beta- - Membrane anchor detected	1
Putative XP_035908523.1 thioredoxin-2	1
Putative XP_035908560.1 beta-13-galactosyltransferase 5-like - signalP detected	1
Putative XP_035908561.1 glycosyltransferase-like domain-containing protein1-like	1
Putative XP_035908687.1 nicotinamide/nicotinic acid mononucleotide adenylyltransferase3 isoform X2	1
Putative XP_035908696.1 RNA-binding protein squid-like isoform X2	1
Putative XP_035908719.1 rap1 GTPase-activating protein 1 isoform X3	1
Putative XP_035908772.1 transcription factor p65 isoform X1	1
Putative XP_035908805.1 cytosolic purine 5'-nucleotidase isoform X1	1
Putative XP_035908818.1 mitochondrial import receptor subunit TOM70	1
Putative XP_035908837.1 tRNA-splicing endonuclease subunit Sen2	1
Putative XP_035908842.1 programmed cell death protein 4	1
Putative XP_035908882.1 stress-activated protein kinase JNK isoform X	1
Putative XP_035908992.1 LOW QUALITY PROTEIN: nuclear hormone receptorFTZ-F1 beta	1
Putative XP_035909071.1 mitochondrial carrier protein Rim2	1
Putative XP_035909074.1 bone morphogenetic protein receptor type-1B isoformX1 - signalP detected	1
Putative XP_035909215.1 probable phospholipid-transporting ATPase IF isoformX2	1
Putative XP_035909216.1 folylpolyglutamate synthase mitochondrial isoformX1	1
Putative XP_035909218.1 bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolasemitochondrial isoform X1	1
Putative XP_035909263.1 ubiquitin-like modifier-activating enzyme atg	1
Putative XP_035909290.1 TNF receptor-associated factor family proteinDDB_G0272098-like	1
Putative XP_035909296.1 muscle calcium channel subunit alpha-1-like isoformX4	1
Putative XP_035909315.1 mitochondrial glutamate carrier 1-like	1
Putative XP_035909464.1 GTPase-activating protein skywalker isoform X	1
Putative XP_035909494.1 ER lumen protein-retaining receptor-like - signalP detected	1
Putative XP_035909527.1 LOW QUALITY PROTEIN: protein disulfide-isomeraseA5 - signalP detected	1
Putative XP_035909657.1 mast/stem cell growth factor receptor Kit isoformX1 - signalP detected	1
Putative XP_035909670.1 carnitine O-palmitoyltransferase 1 liver isoformisoform X1	1
Putative XP_035909677.1 GMP synthase	1
Putative XP_035909680.1 diacylglycerol lipase-alpha isoform X2	1
Putative XP_035909723.1 acetylcholine receptor subunit beta-type lev-1-likeisoform X2	1
Putative XP_035909799.1 nuclear factor of activated T-cells 5-like isoformX1	1
Putative XP_035909824.1 probable ubiquitin carboxyl-terminal hydrolaseFAF	1
Putative XP_035909827.1 phosphatidylinositol-binding clathrin assemblyprotein LAP isoform X1	1
Putative XP_035909902.1 pre-mRNA-splicing factor 38B	1
Putative XP_035910046.1 contactin-associated protein-like 2 isoform X - signalP detected	1
Putative XP_035910238.1 LOW QUALITY PROTEIN: RING finger protein nhl-1-lik	1
Putative XP_035910360.1 RING finger protein nhl-1-like	1
Putative XP_035910405.1 probable beta-hexosaminidase fdl isoform X1	1
Putative XP_035910453.1 histone deacetylase 6 isoform X2	1
Putative XP_035910514.1 alpha-tubulin N-acetyltransferase	1
Putative XP_035910560.1 calcium-binding mitochondrial carrier proteinSCaMC-2 isoform X5	1
Putative XP_035910701.1 ras GTPase-activating protein raskol isoform X	1
Putative XP_035910832.1 eukaryotic translation initiation factor 4B-likeisoform X3	1
Putative XP_035910852.1 zinc finger-containing ubiquitin peptidase 1-likeisoform X2	1
Putative XP_035910880.1 S-adenosylmethionine decarboxylase proenzyme isoformX2	1
Putative XP_035910912.1 histone demethylase UTY isoform X1	1
Putative XP_035910932.1 nicotinate phosphoribosyltransferase isoform X	1
Putative XP_035910982.1 serine/threonine-protein phosphatase 1 regulatorysubunit 10	1
Putative XP_035910988.1 disintegrin and metalloproteinase domain-containingprotein 10 isoform X1	1
Putative XP_035911092.1 discoidin domain-containing receptor tyrosinekinase B isoform X2 - signalP detected	1
Putative XP_035911386.1 sodium-dependent nutrient amino acid transporter1 isoform X1	1
Putative XP_035911411.1 putative lipoyltransferase 2 mitochondrial	1
Putative XP_035911466.1 rho GTPase-activating protein 7	1
Putative XP_035911598.1 calcium/calmodulin-dependent protein kinase type1	1
Putative XP_035911645.1 serine protease inhibitor 42Dd-like isoform X	1
Putative XP_035911702.1 hormone receptor 4-like isoform X1	1
Putative XP_035911708.1 rab GTPase-activating protein 1-like isoform X	1
Putative XP_035911771.1 potassium channel subfamily T member 2 isoformX4	1
Putative XP_035911791.1 serine/threonine-protein kinase N isoform X4	1
Putative XP_035911831.1 mucin-2 isoform X13	1
Putative XP_035911895.1 lysophospholipid acyltransferase 1 isoform X	1
Putative XP_035911927.1 solute carrier family 41 member 1 isoform X3	1
Putative XP_035911943.1 LOW QUALITY PROTEIN: proton-coupled amino acidtransporter-like protein pathetic	1
Putative XP_035912015.1 titin isoform X19	1
Putative XP_035912201.1 SPARC-related modular calcium-binding protein2 isoform X1 - signalP detected	1
Putative XP_035912267.1 F-actin-uncapping protein LRRC16A isoform X2	1
Putative XP_035912316.1 paramyosin long form	1
Putative XP_035912383.1 microtubule-associated protein RP/EB family member1 isoform X4	1
Putative XP_035912467.1 85/88 kDa calcium-independent phospholipase A2isoform X6	1
Putative XP_035912505.1 RNA polymerase II elongation factor Ell isoformX3	1
Putative XP_035912515.1 stAR-related lipid transfer protein 7 mitochondrialisoform X2	1
Putative XP_035912557.1 beta-14-N-acetylgalactosaminyltransferase bre-4isoform X2	1
Putative XP_035912577.1 SLIT-ROBO Rho GTPase-activating protein 1-likeisoform X2	1
Putative XP_035912666.1 pyruvate carboxylase mitochondrial isoform X	1
Putative XP_035912692.1 protein rhomboid	1
Putative XP_035912699.1 group 3 secretory phospholipase A2 isoform X - signalP detected	1
Putative XP_035912709.1 LOW QUALITY PROTEIN: TWiK family of potassiumchannels protein 18	1
Putative XP_035912755.1 sodium channel protein para isoform X24 - signalP detected	1
Putative XP_035912844.1 polypeptide N-acetylgalactosaminyltransferase5 isoform X1	1
Putative XP_035912862.1 forkhead box protein D2-like isoform X1	1
Putative XP_035912875.1 insulin-like growth factor-binding protein complexacid labile subunit isoform X1 - signalP detected	1
Putative XP_035912899.1 RNA-binding protein 5-B-like isoform X1	1
Putative XP_035913022.1 epidermal growth factor receptor substrate 15-like1 isoform X2	1
Putative XP_035913028.1 glutathione S-transferase 1-like isoform X1	1
Putative XP_035913130.1 ubiquitin carboxyl-terminal hydrolase CYLD isoformX1	1
Putative XP_035913173.1 eukaryotic translation initiation factor 4 gamma1-like	1
Putative XP_035913176.1 RNA-binding protein 39-like	1
Putative XP_035913287.1 bifunctional arginine demethylase and lysyl-hydroxylasePSR-like isoform X1	1
Putative XP_035913315.1 matrix metalloproteinase-14 isoform X1 - signalP detected	1
Putative XP_035913349.1 LON peptidase N-terminal domain and RING fingerprotein 3	1
Putative XP_035913436.1 glutathione S-transferase C-terminal domain-containingprotein homolog isoform X1	1
Putative XP_035913465.1 semaphorin-1A isoform X1	1
Putative XP_035913590.1 uncharacterized Golgi apparatus membrane protein-likeprotein CG5021 isoform X1	1
Putative XP_035913642.1 putative mediator of RNA polymerase II transcriptionsubunit 12 isoform X1	1
Putative XP_035913761.1 autophagy-related protein 18	1
Putative XP_035913842.1 splicing factor 3B subunit 3 isoform X1	1
Putative XP_035913902.1 serine/threonine-protein kinase tricornered	1
Putative XP_035913924.1 putative mediator of RNA polymerase II transcriptionsubunit 26 isoform X1	1
Putative XP_035913965.1 phospholipid scramblase 2-like isoform X1	1
Putative XP_035914034.1 diuretic hormone receptor-like isoform X6	1
Putative XP_035914061.1 C-type lectin 37Da-like - signalP detected	1
Putative XP_035914156.1 transcription factor hamlet isoform X3	1
Putative XP_035914176.1 serine/threonine-protein phosphatase 6 regulatorysubunit 3 isoform X2	1
Putative XP_035914247.1 putative phospholipase B-like lamina ancesto	1
Putative XP_035914380.1 protein phosphatase 1 regulatory subunit 12A isoformX15	1
Putative XP_035914424.1 autophagy-related protein 13 homolog	1
Putative XP_035914434.1 transcription initiation factor TFIID subunit4-like isoform X2	1
Putative XP_035914510.1 tyrosine-protein kinase receptor torso isoformX1	1
Putative XP_035914546.1 H(+)/Cl(-) exchange transporter 5 isoform X1	1
Putative XP_035914703.1 serine/threonine-protein phosphatase PP2A 65 kDaregulatory subunit isoform X5	1
Putative XP_035914721.1 aromatic-L-amino-acid decarboxylase isoform X	1
Putative XP_035914726.1 sorting nexin-21 isoform X1	1
Putative XP_035914776.1 solute carrier organic anion transporter familymember 4C1 isoform X2	1
Putative XP_035914900.1 aminopeptidase N - signalP detected	1
Putative XP_035914928.1 mucin-5AC isoform X5	1
Putative XP_035915018.1 tRNA N(3)-methylcytidine methyltransferase METTL	1
Putative XP_035915337.1 cGMP-dependent protein kinase isozyme 2 formscD4/T1/T3A/T3B isoform X4	1
Putative XP_035915366.1 mucin-19 isoform X3	1
Putative XP_035915391.1 aquaporin AQPcic isoform X1	1
Putative XP_035915406.1 aquaporin AQPAn.G isoform X3	1
Putative XP_035915541.1 zinc transporter ZIP11	1
Putative XP_035915577.1 dual specificity protein phosphatase 3 isoformX2	1
Putative XP_035915751.1 NPC intracellular cholesterol transporter 1-likeisoform X5	1
Putative XP_035915771.1 receptor-type tyrosine-protein phosphatase-likeN	1
Putative XP_035915832.1 inactive serine protease scarface-like isoformX3 - signalP detected	1
Putative XP_035916009.1 forkhead box protein C1 isoform X3	1
Putative XP_035916029.1 nuclear receptor-binding protein	1
Putative XP_035916085.1 dihydrolipoyllysine-residue acetyltransferasecomponent of pyruvate dehydrogenase complex mitochondrial isoform X1	1
Putative XP_035916215.1 LOW QUALITY PROTEIN: monocarboxylate transporter10	1
Putative XP_035916252.1 sodium/potassium-transporting ATPase subunit beta-2-likeisoform X1 - Membrane anchor detected	1
Putative XP_035916270.1 sodium/potassium-transporting ATPase subunit beta-1-lik	1
Putative XP_035916403.1 LOW QUALITY PROTEIN: sodium-coupled monocarboxylatetransporter 1-like	1
Putative XP_035916421.1 sodium channel protein Nach isoform X2	1
Putative XP_035916468.1 ral GTPase-activating protein subunit beta isoformX3	1
Putative XP_035916532.1 ras-related protein Rab-5B	1
Putative XP_035916586.1 protein phosphatase 1 regulatory subunit 14B	1
Putative XP_035916728.1 steroidogenic acute regulatory protein-like	1
Putative XP_035916854.1 multiple inositol polyphosphate phosphatase  - signalP detected	1
Putative XP_035916888.1 RNA-binding protein Musashi homolog Rbp6 isoformX4	1
Putative XP_035916919.1 fatty acid synthase-like	1
Putative XP_035917038.1 semaphorin-2A-like isoform X1 - signalP detected	1
Putative XP_035917052.1 regulator of G-protein signaling 7	1
Putative XP_035917214.1 mucin-19 isoform X5	1
Putative XP_035917293.1 RNA-binding protein 1-like isoform X1	1
Putative XP_035917353.1 tubulin polyglutamylase TTLL4 isoform X2	1
Putative XP_035917376.1 netrin receptor UNC5C-like isoform X3 - signalP detected	1
Putative XP_035917414.1 serine/threonine-protein kinase GL21140 isoformX2	1
Putative XP_035917432.1 protein phosphatase 1L	1
Putative XP_035917444.1 homocysteine S-methyltransferase 1-like	1
Putative XP_035917538.1 insulin-like peptide receptor	1
Putative XP_035917604.1 putative ankyrin repeat protein RF_0381 isoformX2	1
Putative XP_035917810.1 crossover junction endonuclease MUS81-like	1
Putative XP_035917990.1 mucin-5AC isoform X2	1
Putative XP_035917993.1 probable phosphorylase b kinase regulatory subunitalpha isoform X2	1
Putative XP_035918033.1 poly(U)-binding-splicing factor half pint-lik	1
Putative XP_035918093.1 nuclear hormone receptor FTZ-F1-like isoform X	1
Putative XP_035918198.1 28S rRNA (cytosine-C(5))-methyltransferase-lik	1
Putative XP_035918358.1 transcriptional activator protein Pur-alpha-lik	1
Putative XP_035918370.1 cationic amino acid transporter 2-like isoformX2	1
Putative XP_035918497.1 mannosyl-oligosaccharide alpha-12-mannosidaseIA isoform X1	1
Putative XP_035918545.1 palmitoyltransferase ZDHHC5 isoform X3 - signalP detected	1
Putative XP_035918669.1 echinoderm microtubule-associated protein-likeCG42247 isoform X1	1
Putative XP_035918998.1 elongation of very long chain fatty acids protein1-like isoform X1	1
Putative XP_035919173.1 glycoprotein endo-alpha-12-mannosidase-like	1
